unit,site,patch_num,flr_id,flr_strp,trmt,seeds_mean,spk_count,spk_wt,spk_flr,mean_flr_dns_m2,germ_rate,seed_flr,prop_prsr_m2,yrs_spraying,phrag_marsh,prop_prsr_marsh
CRU,CRU,4,CRU4.3,0.456,Low,3.7,60,0.031,882.58,,,3265.5,39186.5807,0,0.01350826,529.342388
CRU,CRU,4,CRU4.4,0.333,Low,5,60,0.033,605.45,,,3027.3,36327.2727,0,0.01350826,490.718122
CRU,CRU,4,CRU4.5,0.473,Low,4,60,0.028,1013.57,,,4054.3,48651.4286,0,0.01350826,657.195983
CRU,CRU,5,CRU5.1,0.545,Low,6.3,60,0.064,510.94,8.8,12.3661485,3218.9,28326.375,0,0.01350826,382.639943
CRU,CRU,5,CRU5.2,0.978,Low,4.3,60,0.037,1585.95,,,6819.6,60012.1946,0,0.01350826,810.660125
CRU,CRU,5,CRU5.3,0.156,Low,4,60,0.036,260,,,1040,9152,0,0.01350826,123.627565
CRU,CRU,5,CRU5.4,0.283,Low,4.3,60,0.047,361.28,,,1553.5,13670.7064,0,0.01350826,184.66741
CRU,CRU,5,CRU5.5,0.435,Low,4.3,60,0.064,407.81,,,1753.6,15431.625,0,0.01350826,208.454351
DK,DK,1,DK1.1,1.17,Low,6.52,60,0.067,1047.76,56,0,6831.4,382558.567,3,0.00629704,2408.9845
DK,DK,1,DK1.2,0.313,Low,6.52,60,0.051,368.24,,,2400.9,134450.071,3,0.00629704,846.636738
DK,DK,1,DK1.3,1.959,Low,6.52,60,0.065,1808.31,,,11790.2,660249.305,3,0.00629704,4157.61267
DK,DK,1,DK1.4,1.477,Low,6.52,60,0.063,1406.67,,,9171.5,513602.133,3,0.00629704,3234.17036
DK,DK,1,DK1.5,1.249,Low,6.52,60,0.069,1086.09,,,7081.3,396552.07,3,0.00629704,2497.10207
DK,DK,2,DK2.1,0.689,Low,6.52,60,0.052,795,4,0,5183.4,20733.6,3,0.00629704,130.560195
DK,DK,2,DK2.2,0.483,Low,6.52,60,0.048,603.75,,,3936.5,15745.8,3,0.00629704,99.1518461
DK,DK,2,DK2.3,0.54,Low,6.52,60,0.047,689.36,,,4494.6,17978.5532,3,0.00629704,113.21157
DK,DK,2,DK2.4,0.975,Low,6.52,60,0.056,1044.64,,,6811.1,27244.2857,3,0.00629704,171.558208
DK,DK,2,DK2.5,0.851,Low,6.52,60,0.062,823.55,,,5369.5,21478.1419,3,0.00629704,135.248601
DK,DK,3,DK3.1,0.394,Low,6.52,60,0.041,576.59,50.4,0.05873715,3759.3,189470.564,3,0.00629704,1193.10268
DK,DK,3,DK3.2,0.199,Low,6.52,60,0.041,291.22,,,1898.8,95697.0615,3,0.00629704,602.6077
DK,DK,3,DK3.3,0.05,Low,6.52,60,0.045,66.67,,,434.7,21907.2,3,0.00629704,137.950395
DK,DK,3,DK3.4,0.594,Low,6.52,60,0.031,1149.68,,,7495.9,377793.197,3,0.00629704,2378.9768
DK,DK,3,DK3.5,0.288,Low,6.52,60,0.035,493.71,,,3219,162238.464,3,0.00629704,1021.62121
DK,DK,4,DK4.1,1.339,Low,6.52,60,0.66,121.73,55.2,0,793.7,43810.1324,3,0.00629704,275.873916
DK,DK,4,DK4.2,1.256,Low,6.52,60,0.047,1603.4,,,10454.2,577071.605,3,0.00629704,3633.83982
DK,DK,4,DK4.3,0.822,Low,6.52,60,0.047,1049.36,,,6841.8,377669.474,3,0.00629704,2378.19772
DK,DK,4,DK4.4,2.012,Low,6.52,60,0.064,1886.25,,,12298.4,678868.92,3,0.00629704,4274.86102
DK,DK,4,DK4.5,0.339,Low,6.52,60,0.046,442.17,,,2883,159140.16,3,0.00629704,1002.11108
DK,DK,5,DK5.1,0.61,Low,6.52,60,0.068,538.24,6.4,0.15810277,3509.3,22459.4824,3,0.00629704,141.428136
DK,DK,5,DK5.2,0.29,Low,6.52,60,0.054,322.22,,,2100.9,13445.6889,3,0.00629704,84.6679671
DK,DK,5,DK5.3,1.195,Low,6.52,60,0.068,1054.41,,,6874.8,43998.4941,3,0.00629704,277.060036
DK,DK,5,DK5.4,0.256,Low,6.52,60,0.082,187.32,,,1221.3,7816.36683,3,0.00629704,49.2199317
DK,DK,5,DK5.5,0.274,Low,6.52,60,0.052,316.15,,,2061.3,13192.4677,3,0.00629704,83.0734245
FL,FL,1,FL1.1,0.347,High,5.07,60,0.049,424.9,24,3.90658174,2154.2,51701.5837,13,0.01288304,666.073486
FL,FL,1,FL1.2,0.602,High,5.07,60,0.032,1128.75,,,5722.8,137346.3,13,0.01288304,1769.43765
FL,FL,1,FL1.3,1.292,High,5.07,60,0.052,1490.77,,,7558.2,181396.8,13,0.01288304,2336.94193
FL,FL,1,FL1.4,0.836,High,5.07,60,0.062,809.03,,,4101.8,98443.0452,13,0.01288304,1268.24553
FL,FL,1,FL1.5,2.822,High,5.07,60,0.049,3455.51,,,17519.4,420466.482,13,0.01288304,5416.88581
FL,FL,2,FL2.1,0.884,High,5.07,60,0.036,1473.33,25.3,9.53445065,7469.8,189234.933,13,0.01288304,2437.9209
FL,FL,2,FL2.2,1.188,High,5.07,60,0.065,1096.62,,,5559.8,140849.28,13,0.01288304,1814.56668
FL,FL,2,FL2.3,0.136,High,5.07,60,0.084,97.14,,,492.5,12477.0286,13,0.01288304,160.742038
FL,FL,2,FL2.4,1.697,High,5.07,60,0.065,1566.46,,,7942,201196.32,13,0.01288304,2592.01991
FL,FL,2,FL2.5,0.856,High,5.07,60,0.075,684.8,,,3471.9,87955.712,13,0.01288304,1133.13681
FL,FL,3,FL3.1,0.34,High,5.07,60,0.026,784.62,10.7,0,3978,42432,13,0.01288304,546.653083
FL,FL,3,FL3.2,0.355,High,5.07,60,0.031,687.1,,,3483.6,37158.1936,13,0.01288304,478.710433
FL,FL,3,FL3.3,0.533,High,5.07,60,0.031,1031.61,,,5230.3,55789.6258,13,0.01288304,718.739889
FL,FL,3,FL3.4,0.425,High,5.07,60,0.037,689.19,,,3494.2,37271.3514,13,0.01288304,480.16825
FL,FL,3,FL3.5,0.995,High,5.07,60,0.037,1613.51,,,8180.5,87258.8108,13,0.01288304,1124.15861
FL,FL,4,FL4.1,0.727,High,5.07,60,0.058,752.07,57.3,3.35078534,3813,218611.407,13,0.01288304,2816.37914
FL,FL,4,FL4.2,0.975,High,5.07,60,0.077,759.74,,,3851.9,220841.299,13,0.01288304,2845.10693
FL,FL,4,FL4.3,0.517,High,5.07,60,0.068,456.18,,,2312.8,132601.377,13,0.01288304,1708.30863
FL,FL,4,FL4.4,1.533,High,5.07,60,0.061,1507.87,,,7644.9,438307.318,13,0.01288304,5646.72999
FL,FL,4,FL4.5,1.186,High,5.07,60,0.055,1293.82,,,6559.7,376087.069,13,0.01288304,4845.14413
FL,FL,5,FL5.1,1.583,High,5.07,60,0.046,2064.78,33.3,8.31007752,10468.4,348948.261,13,0.01288304,4495.51383
FL,FL,5,FL5.2,1.53,High,5.07,60,0.104,882.69,,,4475.3,149175,13,0.01288304,1921.82725
FL,FL,5,FL5.3,0.281,High,5.07,60,0.074,227.84,,,1155.1,38504.5946,13,0.01288304,496.056169
FL,FL,5,FL5.4,0.771,High,5.07,60,0.08,578.25,,,2931.7,97724.25,13,0.01288304,1258.98526
FL,FL,5,FL5.5,2.635,High,5.07,60,0.078,2026.92,,,10276.5,342550,13,0.01288304,4413.08479
GD,GD,1,GD1.1,2.122,Low,7,60,0.095,1340.21,37.3,8.97560976,9381.5,349928.968,1,0.01613916,5647.55925
GD,GD,1,GD1.2,0.485,Low,6.7,60,0.065,447.69,,,2999.5,111882.785,1,0.01613916,1805.69406
GD,GD,1,GD1.3,0.437,Low,5,60,0.056,468.21,,,2341.1,87321.9643,1,0.01613916,1409.30307
GD,GD,1,GD1.4,1.28,Low,7,60,0.101,760.4,,,5322.8,198539.406,1,0.01613916,3204.25904
GD,GD,1,GD1.5,1.102,Low,6.3,60,0.07,944.57,,,5950.8,221964.84,1,0.01613916,3582.32584
GD,GD,2,GD2.1,1.701,Low,5.7,60,0.076,1342.89,50.7,5.64373898,7654.5,388083.15,1,0.01613916,6263.33566
GD,GD,2,GD2.2,1.41,Low,5.3,60,0.07,1208.57,,,6405.4,324755.229,1,0.01613916,5241.27628
GD,GD,2,GD2.3,2.528,Low,6,60,0.07,2166.86,,,13001.1,659157.943,1,0.01613916,10638.2548
GD,GD,2,GD2.4,1.104,Low,6,60,0.062,1068.39,,,6410.3,325003.355,1,0.01613916,5245.28082
GD,GD,2,GD2.5,1.472,Low,4.7,60,0.056,1577.14,,,7412.6,375817.371,1,0.01613916,6065.3763
GD,GD,3,GD3.1,2.996,Low,5.7,60,0.06,2996,70.7,5.67119155,17077.2,1207358.04,1,0.01613916,19485.7434
GD,GD,3,GD3.2,1.41,Low,7.3,60,0.09,940,,,6862,485143.4,1,0.01613916,7829.80647
GD,GD,3,GD3.3,1.093,Low,6,60,0.068,964.41,,,5786.5,409103.471,1,0.01613916,6602.58596
GD,GD,3,GD3.4,6.18,Low,7,60,0.089,4166.29,,,29164,2061897.98,1,0.01613916,33277.2993
GD,GD,3,GD3.5,3.37,Low,5.3,60,0.081,2496.3,,,13230.4,935387.185,1,0.01613916,15096.3625
